Annual mileage mi,,,Regular round trip range mi required by the user.  Ecar range is same /0.6 to allow 80-20% charge state for required range to maximise battery longevity.,,Range design to give range with 80-20% charge cycling to maximise life,Ecar Archetype Index,Ecar design Range mi,,,"Check Ecar suitable 1=Yes, 0=No",Total Ecar + charger up front cost,,Archetype Ecar Efficiency mi/kWh,Archetype Ecar Battery kWh,Regularly utilised Ecar Battery kWh,Regularly utilised % of full battery capacity (should be <=60%),Typical home chargup time hrs for utilised capacity,Typical home charging time at night rate hrs,Typical home charging time at day rate hrs,home charging night rate kWh,home charging day rate kWh,public charging kWh,home charging night rate fraction,home charging day rate fraction,public top up charging fraction,aggregate charging electricity cost p/kWh,aggregate charging electricity cost p/mi,Annual elec cost £,Total elec costs over assessment period £,total mileage over assessed time period,Max car mileage,No of car replacements over assessment period,Total E Car replacement cost £,Total loan interest on initial Ecar and charger and replacement Ecars £,Est Ecar annual servicing cost low £,Est Ecar annual servicing cost med £,Est Ecar annual servicing cost high £,Est annual servicing cost Ecar,Est total servicing cost Ecar,Total Ecar cost  £,Assumed alternative petrol car  up front cost,,Assumed alternative petrol car consumption mpg,Petrol cost p/mi,Annual petrol cost £,Total petrol costs over assessment period £,Total petrol car replacements costs £,Total loan interest on initial and replacement petrol cars £,,Est petrol car annual servicing cost low £,Est petrol car annual servicing cost med £,Est petrol car annual servicing cost high £,Est annual servicing cost petrol car,Est total servicing cost petrol car,Total Petrol car cost  £,Est annual servicing cost saving elec v petrol £,Total maintenance saving over assessment period £,Total 8 year new electric vs new petrol car cost saving with home charger + public top up where necessary £,,,,
" 5,000 ",,,60.0,,100,1,113.857,,,1," £12,901 ",,2.782,42.25,21.57,51%, -   , -   , -   , -   , -   , 21.57 , -   , -   , 1.0 , 51.00 , 18.33 ,£917," £3,666 "," 20,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £20,723 "," £10,321 ",,50.000, 13.62 ,£681," £2,724 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £19,033 ",£458,"£1,832","-£1,690.3 ",-654.9096729,"-£1,035.4 ",,
" 5,000 ",,,60.0,,100,2,137.479,,,1," £10,219 ",,3.392,41.13,17.69,43%, -   , -   , -   , -   , -   , 17.69 , -   , -   , 1.0 , 51.00 , 15.03 ,£752," £3,007 "," 20,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £17,382 "," £8,176 ",,50.000, 13.62 ,£681," £2,724 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £16,888 ",£458,"£1,832",-£494.7 ,153.727047,-£648.5 ,,
" 5,000 ",,,60.0,,100,3,163.110,,,1," £10,221 ",,3.602,45.42,16.66,37%, -   , -   , -   , -   , -   , 16.66 , -   , -   , 1.0 , 51.00 , 14.16 ,£708," £2,831 "," 20,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £17,208 "," £8,177 ",,50.000, 13.62 ,£681," £2,724 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £16,889 ",£458,"£1,832",-£319.6 ,198.1617427,-£517.7 ,,
" 5,000 ",,,60.0,,100,4,188.871,,,1," £13,619 ",,3.388,57.85,17.71,31%, -   , -   , -   , -   , -   , 17.71 , -   , -   , 1.0 , 51.00 , 15.05 ,£753," £3,011 "," 20,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £20,786 "," £10,895 ",,50.000, 13.62 ,£681," £2,724 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £19,607 ",£458,"£1,832","-£1,178.7 ",-659.2878775,-£519.5 ,,
" 5,000 ",,,60.0,,100,5,213.698,,,1," £15,092 ",,3.313,65.24,18.11,28%, -   , -   , -   , -   , -   , 18.11 , -   , -   , 1.0 , 51.00 , 15.40 ,£770," £3,079 "," 20,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £22,327 "," £12,073 ",,50.000, 13.62 ,£681," £2,724 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £20,785 ",£458,"£1,832","-£1,541.4 ",-1028.468832,-£513.0 ,,
" 5,000 ",,,60.0,,100,6,239.128,,,1," £17,581 ",,3.327,72.38,18.03,25%, -   , -   , -   , -   , -   , 18.03 , -   , -   , 1.0 , 51.00 , 15.33 ,£766," £3,066 "," 20,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £24,803 "," £14,065 ",,50.000, 13.62 ,£681," £2,724 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £22,777 ",£458,"£1,832","-£2,026.1 ",-1619.642249,-£406.4 ,,
" 5,000 ",,,60.0,,100,7,262.616,,,1," £21,881 ",,3.235,81.64,18.55,23%, -   , -   , -   , -   , -   , 18.55 , -   , -   , 1.0 , 51.00 , 15.76 ,£788," £3,153 "," 20,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £29,190 "," £17,505 ",,50.000, 13.62 ,£681," £2,724 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £26,217 ",£458,"£1,832","-£2,973.1 ",-2668.907803,-£304.2 ,,
" 5,000 ",,,60.0,,100,8,285.831,,,1," £25,124 ",,3.221,90.08,18.63,21%, -   , -   , -   , -   , -   , 18.63 , -   , -   , 1.0 , 51.00 , 15.83 ,£792," £3,166 "," 20,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £32,446 "," £20,099 ",,50.000, 13.62 ,£681," £2,724 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £28,811 ",£458,"£1,832","-£3,635.1 ",-3446.935394,-£188.1 ,,
" 5,000 ",,,60.0,,100,9,312.628,,,1," £26,150 ",,3.196,98.87,18.77,19%, -   , -   , -   , -   , -   , 18.77 , -   , -   , 1.0 , 51.00 , 15.96 ,£798," £3,192 "," 20,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £33,498 "," £20,920 ",,50.000, 13.62 ,£681," £2,724 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £29,632 ",£458,"£1,832","-£3,865.6 ",-3698.568158,-£167.0 ,,
" 5,000 ",,,75.0,,125,2,137.479,,,1," £10,219 ",,3.392,41.13,22.11,54%, -   , -   , -   , -   , -   , 22.11 , -   , -   , 1.0 , 51.00 , 15.03 ,£752," £3,007 "," 20,000 "," 100,000 ", -   , £-  , £-  ," £1,022 "," £1,039 "," £1,139 ","£1,039","£4,156"," £17,382 "," £8,176 ",,50.000, 13.62 ,£681," £2,724 ", £-  , £-  ,," £1,012 "," £1,497 "," £1,668 ","£1,497","£5,988"," £16,888 ",£458,"£1,832",-£494.7 ,153.727047,-£648.5 ,,
